0,1,2,3,4,Selected,5,6,7,8,Selected (1)
continuous,continuous,continuous,continuous,continuous,No Yes,continuous,continuous,continuous,continuous,No Yes
,,,,,,,,,,meta
0.0,0.0,0.0,0.0,1503898199.999999,No,,,,,No
0.0,0.0,0.0,0.0,1503899100.000001,No,,,,,No
0.0,0.0,0.0,0.0,1503900000.0,No,,,,,No
0.0,0.0,0.0,0.0,1503900899.999999,No,,,,,No
0.0,0.0,0.0,0.0,1503901800.000001,No,,,,,No
0.0,0.0,0.0,0.0,1503902700.0,No,,,,,No
0.0,0.0,0.0,0.0,1503903599.999999,No,,,,,No
0.0,0.0,0.0,0.0,1503904500.000001,No,,,,,No
0.0,0.0,0.0,0.0,1503905400.0,No,,,,,No
0.0,0.0,0.0,0.0,1503906299.999999,No,,,,,No
0.0,0.0,0.0,0.0,1503907200.000001,No,,,,,No
0.0,0.0,0.0,0.0,1503908100.0,No,,,,,No
0.0,0.0,0.0,0.0,1503908999.999999,No,,,,,No
0.0,0.0,0.0,0.0,1503909900.000001,No,,,,,No
0.0,0.0,0.0,0.0,1503910800.0,No,,,,,No
0.0,0.0,0.0,0.0,1503911699.999999,No,347.2375,,,,No
1.0,0.0,0.0,0.0,1503912600.000001,No,347.9625,,,,No
0.0,0.0,0.0,0.0,1503913500.0,No,347.6250000000001,,,,No
0.0,0.0,0.0,0.0,1503914399.999999,No,349.0187500000001,,,,No
0.0,0.0,0.0,0.0,1503915300.000001,No,351.0062500000001,,,,No
0.0,0.0,0.0,0.0,1503916200.0,No,352.4500000000001,,,,No
0.0,0.0,0.0,0.0,1503917099.999999,No,352.9437500000001,,,,No
0.0,0.0,0.0,0.0,1503918000.000001,No,353.4625000000001,,,,No
0.0,0.0,0.0,0.0,1503918900.0,No,354.0750000000002,,,,No
0.0,0.0,0.0,0.0,1503919799.999999,No,354.1875000000001,,,,No
1.0,0.0,0.0,0.0,1503920700.000001,No,354.3125000000001,,,,No
0.0,0.0,0.0,0.0,1503921600.0,No,354.0812500000001,,,,No
0.0,0.0,0.0,0.0,1503922499.999999,No,351.7687500000001,,,,No
0.0,0.0,0.0,0.0,1503923400.000001,No,351.2187500000001,,,,No
0.0,0.0,0.0,0.0,1503924300.0,No,349.075,,,,No
0.0,0.0,0.0,0.0,1503925199.999999,No,348.25625,,,,No
1.0,0.0,0.0,0.0,1503926100.000001,No,348.5375,,,,No
0.0,0.0,0.0,0.0,1503927000.0,No,347.14375,,,,No
0.0,0.0,0.0,0.0,1503927899.999999,No,348.9375,,,,No
0.0,0.0,0.0,0.0,1503928800.000001,No,350.5,,,,No
0.0,0.0,0.0,0.0,1503929700.0,No,352.16875,,,,No
0.0,0.0,0.0,0.0,1503930599.999999,No,352.76875,,,,No
1.0,0.0,0.0,0.0,1503931500.000001,No,354.35625,,,,No
0.0,0.0,0.0,0.0,1503932400.0,No,349.30625,,,,No
0.0,0.0,0.0,0.0,1503933299.999999,No,344.64375,,,,No
0.0,0.0,0.0,0.0,1503934200.000001,No,340.8625,,,,No
0.0,0.0,0.0,0.0,1503935100.0,No,337.69375,,,,No
0.0,0.0,0.0,0.0,1503935999.999999,No,333.5625,,,,No
1.0,0.0,0.0,0.0,1503936900.000001,No,338.325,,,,No
0.0,0.0,0.0,0.0,1503937800.0,No,333.96875,,,,No
0.0,0.0,0.0,0.0,1503938699.999999,No,330.6625,,,,No
0.0,0.0,0.0,0.0,1503939600.000001,No,326.1375,,,,No
0.0,0.0,0.0,0.0,1503940500.0,No,320.5687500000001,,,,No
0.0,0.0,0.0,0.0,1503941399.999999,No,316.8500000000001,,,,No
0.0,0.0,0.0,0.0,1503942300.000001,No,310.4562500000001,,,,No
0.0,0.0,0.0,0.0,1503943200.0,No,303.4312500000001,,,,No
0.0,0.0,0.0,0.0,1503944099.999999,No,302.8500000000001,,,,No
1.0,0.0,0.0,0.0,1503945000.000001,No,304.6937500000001,,,,No
0.0,0.0,0.0,0.0,1503945900.0,No,301.5875000000001,,,,No
0.0,0.0,0.0,0.0,1503946799.999999,No,301.6125000000001,,,,No
0.0,0.0,0.0,0.0,1503947700.000001,No,307.2500000000001,,,,No
0.0,0.0,0.0,0.0,1503948600.0,No,312.9562500000001,,,,No
0.0,0.0,0.0,0.0,1503949499.999999,No,317.9187500000001,,,,No
1.0,0.0,0.0,0.0,1503950400.000001,No,323.7687500000001,,,,No
0.0,0.0,0.0,0.0,1503951300.0,No,322.4,,,,No
0.0,0.0,0.0,0.0,1503952199.999999,No,327.7875,,,,No
0.0,0.0,0.0,0.0,1503953100.000001,No,332.1375,,,,No
0.0,0.0,0.0,0.0,1503954000.0,No,334.2125,,,,No
0.0,0.0,0.0,0.0,1503954899.999999,No,337.89375,,,,No
0.0,0.0,0.0,0.0,1503955800.000001,No,340.1625,,,,No
0.0,0.0,0.0,0.0,1503956700.0,No,343.7,,,,No
1.0,0.0,0.0,0.0,1503957599.999999,No,347.63125,,,,No
0.0,0.0,0.0,0.0,1503958500.000001,No,344.825,,,,No
0.0,0.0,0.0,0.0,1503959400.0,No,340.56875,,,,No
0.0,0.0,0.0,0.0,1503960299.999999,No,339.7914620449463,,,,No
