bulk speed,Vmax (kts) IRMA,Vmax (kts) JOSE,Vmax (kts) KATIA,pick_bulk,pick_Irma,pick_Jose,pick_Katia,Selected,dependence,Selected (1),date,Selected (2)
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,string,discrete
,,,,,,,,,,class,meta,meta
350.8852386568578,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T20:29%:59Z,No
351.9697405607624,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T20:45%:00Z,No
352.8978712976357,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T21:00%:00Z,No
353.6615782063696,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T21:14%:59Z,No
354.2156551218248,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T21:30%:00Z,No
354.1402423748312,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T21:45%:00Z,No
353.9533267921876,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-28T21:59%:59Z,No
354.1482416966616,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T22:15%:00Z,No
354.2061669069898,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T22:30%:00Z,No
354.1023787378778,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T22:44%:59Z,No
353.9062500000001,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-28T23:00%:00Z,No
351.9687500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T23:15%:00Z,No
350.7812500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T23:29%:59Z,No
348.6250000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-28T23:45%:00Z,No
345.6750000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T00:00%:00Z,No
342.7937500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T00:14%:59Z,No
339.9750000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T00:30%:00Z,No
337.1062500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T00:45%:00Z,No
334.1312500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T00:59%:59Z,No
332.8625000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T01:15%:00Z,No
331.3187500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T01:30%:00Z,No
330.3500000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T01:44%:59Z,No
329.73125,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T02:00%:00Z,No
329.0312500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T02:15%:00Z,No
328.1437500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T02:29%:59Z,No
327.6250000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T02:45%:00Z,No
326.7375,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T03:00%:00Z,No
327.3125,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T03:14%:59Z,No
325.74375,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T03:30%:00Z,No
325.225,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T03:45%:00Z,No
325.30625,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T03:59%:59Z,No
325.56875,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T04:15%:00Z,No
325.04375,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T04:30%:00Z,No
323.85625,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T04:44%:59Z,No
323.10625,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T05:00%:00Z,No
321.30625,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T05:15%:00Z,No
320.08125,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T05:29%:59Z,No
320.91875,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T05:45%:00Z,No
321.65,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T06:00%:00Z,No
322.3125000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T06:14%:59Z,No
323.1000000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T06:30%:00Z,No
323.5375000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T06:45%:00Z,No
324.4187500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T06:59%:59Z,No
325.5062500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T07:15%:00Z,No
327.9000000000001,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-29T07:30%:00Z,No
330.6062500000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T07:44%:59Z,No
333.3250000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T08:00%:00Z,No
336.3875000000002,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T08:15%:00Z,No
340.2875000000001,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-29T08:29%:59Z,No
344.8312500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T08:45%:00Z,No
349.2812500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T09:00%:00Z,No
353.3000000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T09:14%:59Z,No
357.1125000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T09:30%:00Z,No
358.6375000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T09:45%:00Z,No
359.9062500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T09:59%:59Z,No
360.7812500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T10:15%:00Z,No
361.3437500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T10:30%:00Z,No
361.9875000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T10:44%:59Z,No
363.7687500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T11:00%:00Z,No
365.9562500000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T11:15%:00Z,No
368.2250000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T11:29%:59Z,No
369.9375000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T11:45%:00Z,No
371.79375,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T12:00%:00Z,No
373.11875,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T12:14%:59Z,No
372.94375,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T12:30%:00Z,No
373.0854166666667,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T12:45%:00Z,No
373.38125,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T12:59%:59Z,No
373.946875,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-29T13:15%:00Z,No
374.9572916666667,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T13:30%:00Z,No
376.4781250000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T13:44%:59Z,No
378.1593750000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T14:00%:00Z,No
379.9001168632367,,,,1.0,0.0,0.0,0.0,No,0,No,2017-08-29T14:15%:00Z,No
382.032939765349,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T14:29%:59Z,No
384.0920910557246,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T14:45%:00Z,No
384.8822262574999,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T15:00%:00Z,No
385.1784090675599,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T15:14%:59Z,No
385.2886113565382,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T15:30%:00Z,No
385.7974631688174,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T15:45%:00Z,No
385.9850027225282,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T15:59%:59Z,No
386.0391764095505,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T16:15%:00Z,No
387.1058387955126,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T16:30%:00Z,No
387.9345859531247,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T16:44%:59Z,No
388.3308387955126,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T17:00%:00Z,No
388.1985514095505,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T17:15%:00Z,No
387.5402110558616,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T17:29%:59Z,No
386.4568381688174,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T17:45%:00Z,No
385.1479863565383,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T18:00%:00Z,No
383.7595422043233,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T18:14%:59Z,No
382.318036492151,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T18:30%:00Z,No
380.8500000000001,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T18:45%:00Z,No
379.3819635078493,,,,0.0,0.0,0.0,0.0,No,0,No,2017-08-29T18:59%:59Z,No
